id,left,top,right,bottom,num_of_points,F,H,L,P
"358",79.037195,21.148185,79.042195,21.143185,0,0,0,0,0
"359",79.037195,21.143185,79.042195,21.138185,0,0,0,0,0
"360",79.037195,21.138185,79.042195,21.133185,0,0,0,0,0
"361",79.037195,21.133185,79.042195,21.128185,0,0,0,0,0
"362",79.037195,21.128185,79.042195,21.123185,10,0,1,9,0
"363",79.037195,21.123185,79.042195,21.118185,0,0,0,0,0
"364",79.037195,21.118185,79.042195,21.113185,0,0,0,0,0
"365",79.037195,21.113185,79.042195,21.108185,0,0,0,0,0
"366",79.037195,21.108185,79.042195,21.103185,0,0,0,0,0
"367",79.037195,21.103185,79.042195,21.098185,0,0,0,0,0
"368",79.037195,21.098185,79.042195,21.093185,0,0,0,0,0
"369",79.037195,21.093185,79.042195,21.088185,0,0,0,0,0
"370",79.037195,21.088185,79.042195,21.083185,0,0,0,0,0
"371",79.037195,21.083185,79.042195,21.078185,0,0,0,0,0
"372",79.037195,21.078185,79.042195,21.073185,0,0,0,0,0
"373",79.037195,21.073185,79.042195,21.068185,0,0,0,0,0
"374",79.037195,21.068185,79.042195,21.063185,0,0,0,0,0
"375",79.037195,21.063185,79.042195,21.058185,0,0,0,0,0
"376",79.037195,21.058185,79.042195,21.053185,0,0,0,0,0
"377",79.037195,21.053185,79.042195,21.048185,0,0,0,0,0
"378",79.037195,21.048185,79.042195,21.043185,0,0,0,0,0
"379",79.037195,21.043185,79.042195,21.038185,0,0,0,0,0
"380",79.037195,21.038185,79.042195,21.033185,0,0,0,0,0
"381",79.037195,21.033185,79.042195,21.028185,0,0,0,0,0
"382",79.037195,21.028185,79.042195,21.023185,0,0,0,0,0
"383",79.037195,21.023185,79.042195,21.018185,0,0,0,0,0
"384",79.037195,21.018185,79.042195,21.013185,0,0,0,0,0
"385",79.042195,21.253185,79.047195,21.248185,0,0,0,0,0
"386",79.042195,21.248185,79.047195,21.243185,0,0,0,0,0
"387",79.042195,21.243185,79.047195,21.238185,0,0,0,0,0
"388",79.042195,21.238185,79.047195,21.233185,0,0,0,0,0
"389",79.042195,21.233185,79.047195,21.228185,0,0,0,0,0
"390",79.042195,21.228185,79.047195,21.223185,0,0,0,0,0
"391",79.042195,21.223185,79.047195,21.218185,0,0,0,0,0
"392",79.042195,21.218185,79.047195,21.213185,5,0,2,0,3
"393",79.042195,21.213185,79.047195,21.208185,2,0,2,0,0
"394",79.042195,21.208185,79.047195,21.203185,0,0,0,0,0
"395",79.042195,21.203185,79.047195,21.198185,0,0,0,0,0
"396",79.042195,21.198185,79.047195,21.193185,0,0,0,0,0
"397",79.042195,21.193185,79.047195,21.188185,1,0,1,0,0
"398",79.042195,21.188185,79.047195,21.183185,0,0,0,0,0
"399",79.042195,21.183185,79.047195,21.178185,0,0,0,0,0
"400",79.042195,21.178185,79.047195,21.173185,0,0,0,0,0
"401",79.042195,21.173185,79.047195,21.168185,0,0,0,0,0
"402",79.042195,21.168185,79.047195,21.163185,0,0,0,0,0
"403",79.042195,21.163185,79.047195,21.158185,0,0,0,0,0
"404",79.042195,21.158185,79.047195,21.153185,0,0,0,0,0
"405",79.042195,21.153185,79.047195,21.148185,30,8,22,0,0
"406",79.042195,21.148185,79.047195,21.143185,0,0,0,0,0
"407",79.042195,21.143185,79.047195,21.138185,0,0,0,0,0
"408",79.042195,21.138185,79.047195,21.133185,0,0,0,0,0
